"ID","Напомена1","Креирано","Година","Количина","Наслов","Аутори","Рбр","ISBN","Задужење","Издавач","Полица","напомена1","Напомена2","Креирање"
"[858407,1464545874]","  ","2024-10-14A12:44:17.000101+0000","  ","  ","25. Билтен Окружног суда у Београду 58/2002 ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464545879]","  ","2024-10-14A12:44:17.000371+0000","  ","  ","26. Билтен Окружног суда у Београду 63/2004 ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464545883]","  ","2024-10-14A12:44:17.000715+0000","  ","  ","27. Билтен Окружног суда у Београду 64/2004 ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464545889]","  ","2024-10-14A12:44:18.000037+0000","  ","  ","28. Билтен Окружног суда у Београду 66/2005 ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464545894]","  ","2024-10-14A12:44:18.000396+0000","  ","  ","29. Билтен Окружног суда у Београду 68/2005 ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464545898]","  ","2024-10-14A12:44:18.000745+0000","  ","  ","30. Билтен Окружног суда у Београду 70/2006 ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464545903]","  ","2024-10-14A12:44:19.000082+0000","  ","  ","31. Билтен Окружног суда у Београду 75/2007 ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464545908]","  ","2024-10-14A12:44:19.000530+0000","  ","  ","32. Билтен Окружног суда у Београду 76/2007 ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464545912]","  ","2024-10-14A12:44:19.000791+0000","  ","  ","33. Билтен Окружног суда у Београду 78/2008 ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464545916]","  ","2024-10-14A12:44:20.000174+0000","  ","  ","34. Билтен Окружног суда у Београду 80/2009 ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464545921]","  ","2024-10-14A12:44:20.000452+0000","  ","  ","35. Билтен судске праксе Окружног суда у Новом Саду 15/2009 – 2 ком. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464545924]","  ","2024-10-14A12:44:20.000698+0000","  ","  ","36. Билтен службених мишљења Министарства за рад,  запошљавање 3/2016","  "," ","","  ","  ","  ",""," ",""
"[858407,1464545928]","  ","2024-10-14A12:44:20.000988+0000","  ","  ","37. Билтен судске праксе Врховног суда Србије 3/1995 ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464545931]","  ","2024-10-14A12:44:21.000286+0000","  ","  ","38. Билтен судске праксе Врховног суда Србије 3/1996 ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464545937]","  ","2024-10-14A12:44:21.000682+0000","  ","  ","39. Билтен судске праксе Врховног суда Србије 4/1997 ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464545942]","  ","2024-10-14A12:44:22.000020+0000","  ","  ","40. Билтен судске праксе Врховног суда Србије 1/1998 ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546140]","  ","2024-10-14A12:44:22.000425+0000","  ","  ","41. Билтен судске праксе Врховног суда Србије 3/1999 ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546145]","  ","2024-10-14A12:44:22.000798+0000","  ","  ","42. Билтен судске праксе Врховног суда Србије 2/2000 ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546730]","  ","2024-10-14A12:44:23.000271+0000","  ","  ","43. Билтен судске праксе Савезни суд 43/1997 – 2 ком. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546735]","  ","2024-10-14A12:44:23.000595+0000","  ","  ","44. Билтен судске праксе Савезни суд 48/2000 ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546741]","  ","2024-10-14A12:44:23.000963+0000","  ","  ","45. Билтен судске праксе Савезни суд 49/2000 ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546746]","  ","2024-10-14A12:44:24.000261+0000","  ","  ","46. Билтен судске праксе Вишег суда у Краљеву 2/2011 ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546749]","  ","2024-10-14A12:44:24.000531+0000","  ","  ","47. Билтен судске праксе Вишег суда у Крагујевцу 1/2011 ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546753]","  ","2024-10-14A12:44:24.000799+0000","  ","  ","48. Билтен Апелационог суда у Нишу 1/2010 ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546758]","  ","2024-10-14A12:44:25.000156+0000","  ","  ","49. Билтен судске праксе Врховног суда Србије 1/2005 ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546762]","  ","2024-10-14A12:44:25.000511+0000","  ","  ","50. Билтен судске праксе Србије 2/2004 ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546766]","  ","2024-10-14A12:44:25.000896+0000","  ","  ","51. Билтен судске праксе Врховног суда Србије 3/2004 ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546771]","  ","2024-10-14A12:44:26.000285+0000","  ","  ","52. Билтен Врховног суда Републике Црне Горе – 2006 – 3 ком. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546776]","  ","2024-10-14A12:44:26.000661+0000","  ","  ","53. Билтен Врховног суда Републике Црне Горе – 2002 – ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546780]","  ","2024-10-14A12:44:27.000017+0000","  ","  ","54. Билтен Привредног суда у Подгорици – 9/2005 – 2 ком. ","  "," ","","  ","  ","  ",""," ",""
"[858407,1464546784]","  ","2024-10-14A12:44:27.000447+0000","  ","  ","55. Билтен Државног тужилаштва Црне Горе – 2017 – 72 ком. ","  "," ","","  ","  ","  ",""," ",""
