Рбр,Наслов,Аутори,Издавач,Година,Количина,Полица,Задужење,Напомена,ISBN,Напомена2
,А,,,,,,,,,
1,1. Актуелна питања савременог законодавства (Будвански правнички дани) – Савез Удружења правника Србије и Републике Српске - 2006.,,,,,,,,,
,2. Актуелна питања савременог законодавства (Будвански правнички дани) – Савез Удружења правника Србије и Републике Српске - 2007.,,,,,,,,,
,3. Актуелна питања савременог законодавства (Будвански правнички дани) – Савез Удружења правника Србије и Републике Српске - 2008.,,,,,,,,,
,4. Актуелна питања југословенског процесног законодавства – 1996.година,,,,,,,,,
,5. Актуелна судска пракса из облигационих односа – Томислав Крсмановић – 2000.,,,,,,,,,
,6. Адресар институција и организација које се баве проблемом трговине људима у Црној Гори – 2007.,,,,,,,,,
,"7. Адресар адвоката, судских вјештака и тумача – ИНГ-ПРО - 2010. – 2 ком.",,,,,,,,,
,"8. Адресар адвоката, судских вјештака и тумача – ИНГ-ПРО - 2011. – 2 ком.",,,,,,,,,
,,,,,,,,,,
,Б,,,,,,,,,
,1. Билтен Врховног суда 2008.,,,,,,,,,
,2. Билтен Врховног суда 2009. – 2 ком.,,,,,,,,,
,3. Билтен Врховног суда 2010.,,,,,,,,,
,4. Билтен Врховног суда 2013.,,,,,,,,,
,5. Билтен Врховног суда 2014. – књига 1,,,,,,,,,
,6. Билтен Врховног суда 2014. – књига 2,,,,,,,,,
,7. Билтен Врховног суда 2015. – 2 ком.,,,,,,,,,
,8. Билтен Врховног суда 2016.,,,,,,,,,
,9. Билтен Врховног суда 2017. – 7 ком.,,,,,,,,,
,"1. Водич кроз кривични поступак и развој комуникацијских вјештина – Веселин Вучковић, Мартина Михордин, Драгана Унковић Маљевић – 4 ком.",,,,,,,,,
,2. Водич кроз судове Црне Горе - Удружење судија Црне Горе,,,,,,,,,
,3. Водич кроз кривични и грађански поступак – Удружење судија Црне Горе,,,,,,,,,
,4. Водич кроз УН-ову Конвенцију из 1949. о сузбијању трговања особама и искоришћавања проституције других – Малка Марцовицх,,,,,,,,,
,5. Вријеме метежа 1998-89 – Владимир Кековић,,,,,,,,,
,6. Високотехнолошки криминал – практични водич кроз савремено кривично право и примјере из праксе – ОСЦЕ – 2014.,,,,,,,,,
,Г,,,,,,,,,
,1. Годишњи извјешта Министарства финансија ЦГ за 2007.год.,,,,,,,,,
,2. Грађанска контрола рада полиције у Црној Гори – 2008,,,,,,,,,
,3. Грађанскоправна конвенција о корупцији - 4 ком.,,,,,,,,,
,4. Грке Године – Владимир Кековић,,,,,,,,,
,,,,,,,,,,
,Д,,,,,,,,,
,1. Документи консултативног вијећа европских судија – Центар за едукацију носилаца правосудне функције у Црној Гори – 2009 – 5 ком.,,,,,,,,,
,2. Декларација копаоничке школе привредног права - 2002,,,,,,,,,
,Ђ,,,,,,,,,
,,,,,,,,,,
,Е,,,,,,,,,
,1. Економски фискални програм за Црну Гору – Министарство финансија - 2008-2011,,,,,,,,,
,2. Европска Конвенција о људским правима – 2003.,,,,,,,,,
,3. Европска Конвенција о људским правима – 2003.,,,,,,,,,
,,,,,,,,,,
,Ж,,,,,,,,,
,,,,,,,,,,
,З,,,,,,,,,
,,,,,,,,,,
,1. Збирка одлука Управног суда РЦГ -2005.год.,,,,,,,,,
,2. Збирка одлука Управног суда РЦГ –И дио-2006.год.,,,,,,,,,
,3. Збирка одлука Управног суда РЦГ –ИИ дио-2006.год.,,,,,,,,,
,4. Збирка одлука Управног суда РЦГ –И дио-2008.год.,,,,,,,,,
,5. Збирка одлука Управног суда РЦГ –ИИ дио-2008.год.,,,,,,,,,
,"6. Збирка одлука Врховних судова донијетих у управним споровима 1953,1954 и 1955.год.-1956год.",,,,,,,,,
,7. Зборник радова ( Европски простор правде) -3 ком.,,,,,,,,,
,8. Зборник Правног факултета у Подгорици,,,,,,,,,
,9. Зборник судске праксе-1980.год.,,,,,,,,,
,10.Збирка прописа из области социјалне и дјечије заштите 2000.год.-2 ком.,,,,,,,,,
,11.Збирка прописа који се примјењују за вријеме ратног стања-1999.год.,,,,,,,,,
,12.Збирка закона о прекршајима- 1986.год.,,,,,,,,,
,13.Збирка судских одлука -1963.год.,,,,,,,,,
,14.Збирка судских одлука из кривичноправне материје -2004.год.,,,,,,,,,
,15.Завршни документ Копаоничке школе природног права 2003.год.,,,,,,,,,
,16.Завршни документ Копаоничке школе природног права 2004.год.,,,,,,,,,
,17.Завршни документ Копаоничке школе природног права 2014.год.-3 ком.,,,,,,,,,
,18.Заштита свједока код тешких кривичних дјела (процесне мјере заштите свједока),,,,,,,,,
,19.Заштита података у Еуројусту- 2014.год.-7 ком.,,,,,,,,,
,20.Закон о државном тужилаштву и правилник о унутрашњем пословању -2010.год.- 2 ком.,,,,,,,,,
,21.Закон о парничном поступку са судском праксом –мр.Радмила Петаковић-1995.год.,,,,,,,,,
,22.Законик о кривичном поступку РЦГ- 2004.год.-2 ком.,,,,,,,,,
,"23.Закон о јавним набавкама са коментаром –др. Милорад Ивовић, др. Рајко Миловић, др. Драган Прља -2001.год.",,,,,,,,,
,24.Закон о кривичном поступку са судском праксом –др. Широ Вуковић -1988.год.,,,,,,,,,
,25.Закон о застрарјелости потраживања са судском праксом –Милош Исаковић и Петар Шурлан -1977.год.,,,,,,,,,
,26.Закон о општем управном поступку и о управним споровима-1988.год.,,,,,,,,,
,27.Законик о кривичном поступку -2002.год.,,,,,,,,,
,28.Закон о предузећима -1998.год.,,,,,,,,,
,29.Закон о јавним набавкама -2008.год.,,,,,,,,,
,30.Закон о привредним друштвима -2005.год.,,,,,,,,,
,31.Законик о кривичном поступку РЦГ -2007.год.,,,,,,,,,
,32.Закон о поступању према малољетницима у кривичном попступку-2013.год.,,,,,,,,,
,33.Закон о раду РЦГ-2008.год.,,,,,,,,,
,34.Закон о безбједности саобраћаја на путевима -2017.год-4 ком.,,,,,,,,,
,35.Закон о одузимању имовинске користи стечене криминалном дјелатношћу -2017.год.,,,,,,,,,
,36.Закон о државном тужиоцу 2005.год.-4 ком.,,,,,,,,,
,37.Закон о државном тужилаштву и закон о специјлном државном тужилаштву -2015.год.-57 ком.,,,,,,,,,
,38,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,И,,,,,,,,,
,1. Извјештај о раду Врховног државног тужилаштва за 2007.год,,,,,,,,,
,2. Извјештај о раду Врховног државног тужилаштва за 2008.год.,,,,,,,,,
,3. Извјештај о раду Врховног државног тужиоца ЦГ о раду државног тужилаштва за 2009.год.,,,,,,,,,
,4. Извјештај о раду Врховног државног тужиоца ЦГ о раду државног тужилаштва за 2010.год.,,,,,,,,,
,5. Извјештај Врховног државног тужилашта о раду државног тужилаштва за 2013.год.,,,,,,,,,
,6. Извјештај о раду тужилачког савјета и државног тужилаштва за 2016.год.-32 ком.,,,,,,,,,
